Node ID,Elevation_m
DEPOT,23.0
C001,80.0
C002,6.0
C003,10.0
C004,17.0
C005,57.0
C006,44.0
C007,76.0
C008,6.0
C009,56.0
C010,59.0
EVS01816,3.0
EVS03706,87.0
EVS01192,9.0
EVS00826,-1.0
EVS01689,164.0
EVS04365,3.0
EVS01245,129.0
EVS02923,2.0
EVS02443,0.0
EVS00810,49.0
EVS00552,47.0
EVS04298,3.0
EVS04889,89.0
EVS02893,1.0
EVS04734,1.0
EVS01509,100.0
EVS02225,66.0
EVS04773,165.0
EVS01283,55.0
EVS02094,56.0
EVS03684,10.0
EVS04400,3.0
EVS00534,52.0
EVS02556,-1.0
EVS01342,224.0
EVS03542,1.0
EVS02273,129.0
EVS03776,64.0
EVS04293,4.0
EVS00405,11.0
